Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
361,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
362,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
363,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
364,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
365,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
366,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
367,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
368,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
369,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
370,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
371,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
372,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
373,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
374,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
375,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
376,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
377,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
378,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
379,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
380,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
381,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
382,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
383,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
384,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
385,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
386,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
387,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
388,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
389,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
390,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
391,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
392,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
